,value,var,isspike,Consumption_Oil,Consumption_Gas,Humidity,Precip,TempAvg,TempMax,TempMin,Wind_v,Wind_x,Wind_y,local_traffic,location,total_traffic,predicted,exp_value,reduction,error
2010-03-25,43.0,8.36793396488,0.0,5973.15073953,218191.793257,43.5,0.0,13.4333333333,16.1,9.4,4.25,-0.0710128495249,0.0795033253564,0.365927977098,2.0,0.372150015355,30.3813116663,30.2916520035,0.0896596628126,12.6186883337
2010-03-26,35.1,9.1228243386,0.0,5738.95874448,214415.304811,55.5,0.14,5.09166666667,11.1,1.1,10.375,0.305665604234,0.103553492792,0.414760421469,2.0,0.434431220496,16.6049886044,16.8637451983,-0.258756593872,18.4950113956
2010-03-27,15.2,2.33470585926,0.0,5504.76674943,210638.816364,40.125,0.0,1.5875,5.6,-1.7,7.75,-0.0574545486486,0.140988490452,0.324717002248,2.0,0.443735363151,14.1490864235,14.3688154447,-0.219729021223,1.05091357649
2010-03-28,15.7,1.93688454461,0.0,5270.57475439,206862.327918,75.8333333333,0.34,6.29166666667,9.4,2.2,7.91666666667,-0.0319185184633,0.0267828170703,0.31401937048,2.0,0.375481310008,18.2293714754,18.5771686517,-0.3477971763,-2.52937147543
2010-03-29,26.6,6.52652891744,0.0,5036.38275934,203085.839471,95.0869565217,1.5,10.7260869565,11.7,9.4,6.30434782609,0.130817957107,0.247966099376,0.219227117976,2.0,0.274262247284,23.2591841567,23.6647099352,-0.405525778435,3.34081584327
2010-03-30,22.7,5.31246824372,0.0,4802.19076429,199309.351025,91.347826087,2.42,6.41304347826,8.9,5.0,11.1304347826,0.0,0.0,0.218946618555,2.0,0.306537061295,11.8744901377,12.1050031656,-0.230513027868,10.8255098623
2010-03-31,12.0,2.16961477246,0.0,4567.99876924,195532.862578,77.5238095238,0.01,10.4571428571,13.9,7.2,6.0,0.0558880084603,-0.0468956072863,0.254307395391,2.0,0.316426766158,17.5207457054,17.6746887362,-0.153943030802,-5.52074570536
2010-04-01,17.9,3.45600587502,0.0,4333.80677419,191756.374132,63.9166666667,0.0,13.1375,21.1,9.4,4.66666666667,0.318153291187,0.0974624846324,0.484918234327,2.0,0.497081105627,27.7714692121,27.4197436811,0.351725531012,-9.87146921213
2010-04-02,34.0,7.99377734181,0.0,4228.91440553,190443.608518,66.5,0.0,13.2083333333,19.4,8.9,4.45833333333,0.216985075551,0.167752517916,0.407761853436,2.0,0.4932883435,21.6279648069,21.5279340926,0.100030714205,12.3720351931
2010-04-03,18.5,3.76681736264,0.0,4124.02203687,189130.842904,76.5416666667,0.0,11.7166666667,18.9,8.3,5.04166666667,-0.0535169914897,0.224101981618,0.432528542676,2.0,0.475596325295,20.1803454484,20.2140405475,-0.0336950990478,-1.68034544842
2010-04-04,24.9,4.71841712282,0.0,4019.1296682,187818.07729,51.375,0.0,16.9166666667,23.9,8.9,2.66666666667,0.476434017032,-0.0223459216148,0.364693918458,2.0,0.394134167817,23.0236899012,22.4815055299,0.542184371365,1.87631009877
2010-04-05,23.8,3.55374623726,0.0,3914.23729954,186505.311677,41.625,0.0,19.1958333333,23.3,13.9,6.375,-0.247749866417,0.213036632905,0.232720817571,2.0,0.266766860912,27.0227142688,26.5379781323,0.484736136528,-3.22271426885
